"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400013660";"21";"04";"2024";"23:30";"5";"06";"06088";"2";"1";"2";"6";"2 Avenue Saint-Jean-Baptiste";"43,70284000";"7,27886000"
"202400013661";"22";"11";"2024";"12:25";"1";"07";"07186";"2";"1";"1";"1";"BOURRET (RUE DU DOCTEUR)";"44,73130000";"4,59033000"
"202400013662";"21";"04";"2024";"21:30";"5";"06";"06104";"2";"1";"2";"1";"18 Avenue Francois de Monleon";"43,76049000";"7,48290000"
"202400013663";"22";"11";"2024";"09:25";"1";"06";"06159";"1";"9";"1";"3";"145 Avenue Bella Vista";"43,71047000";"7,31944000"
"202400013664";"21";"04";"2024";"16:20";"1";"06";"06104";"2";"4";"1";"3";"77 Avenue Gabriel Hanotaux";"43,76462500";"7,45642500"
"202400013665";"21";"11";"2024";"15:00";"1";"06";"06088";"2";"7";"1";"3";"16 Rue du Congrès";"43,69723000";"7,26290000"
"202400013666";"22";"11";"2024";"14:40";"1";"06";"06104";"2";"1";"1";"6";"17 Avenue de France";"43,75311000";"7,44017000"
"202400013667";"21";"04";"2024";"12:05";"1";"06";"06069";"2";"1";"1";"3";"57 Avenue Georges Pompidou";"43,64769700";"6,93720900"
"202400013668";"18";"11";"2024";"14:00";"1";"06";"06029";"2";"1";"1";"3";"95 Avenue Docteur Raymond Picaud";"43,55028000";"6,98777000"
"202400013669";"20";"11";"2024";"15:00";"1";"75";"75113";"2";"1";"1";"3";"BD PERIPHERIQUE INTERIEUR";"48,81611400";"2,36252300"
"202400013670";"20";"04";"2024";"23:30";"5";"75";"75112";"2";"1";"1";"4";"BD PERIPHERIQUE INTERIEUR";"48,84225400";"2,41363200"
"202400013671";"21";"04";"2024";"15:45";"1";"75";"75120";"2";"9";"1";"6";"BD PERIPHERIQUE EXTERIEUR";"48,84826300";"2,41494700"
"202400013672";"18";"11";"2024";"15:30";"1";"75";"75113";"2";"1";"2";"2";"BD PERIPHERIQUE INTERIEUR";"48,81919700";"2,37179300"
"202400013673";"21";"04";"2024";"03:57";"5";"75";"75120";"2";"2";"8";"6";"RUE DES ORTEAUX";"48,85616000";"2,40500500"
"202400013674";"22";"11";"2024";"20:36";"5";"75";"75120";"2";"3";"1";"3";"BOULEVARD DAVOUT";"48,84793900";"2,41133400"
"202400013675";"21";"04";"2024";"08:30";"2";"75";"75119";"2";"5";"1";"3";"RUE DE L INSPECTEUR ALLES";"48,88007600";"2,39836300"
"202400013676";"22";"11";"2024";"00:30";"5";"75";"75117";"2";"2";"8";"6";"RUE POUCHET";"48,89155800";"2,31847600"
"202400013677";"20";"04";"2024";"15:15";"1";"75";"75117";"2";"4";"1";"2";"BOULEVARD BESSIERES";"48,89499100";"2,31553600"
"202400013678";"21";"04";"2024";"17:25";"1";"75";"75113";"2";"5";"1";"1";"RUE DE TOLBIAC";"48,82584400";"2,35046600"
"202400013679";"22";"11";"2024";"10:15";"1";"75";"75116";"2";"3";"8";"5";"RUE DU DOCTEUR BLANCHE";"48,85299000";"2,26481900"
"202400013680";"21";"04";"2024";"17:50";"1";"75";"75113";"2";"1";"2";"3";"AVENUE D ITALIE";"48,82391400";"2,35795600"
"202400013681";"22";"11";"2024";"09:28";"1";"75";"75114";"2";"1";"1";"6";"AVENUE JEAN MOULIN";"48,82736300";"2,32570200"
"202400013682";"21";"04";"2024";"17:40";"1";"75";"75113";"2";"3";"1";"3";"BOULEVARD VINCENT AURIOL";"48,83400300";"2,36469500"
"202400013683";"22";"11";"2024";"20:00";"5";"75";"75113";"2";"1";"1";"6";"AVENUE DE LA PORTE D IVRY";"48,82002300";"2,37209100"
"202400013684";"21";"04";"2024";"05:50";"5";"75";"75111";"2";"2";"1";"1";"AVENUE PARMENTIER";"48,86811000";"2,37247300"
