"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000143";"155781499";"C01";"2";"7";"0";"2";"4";"2";"1";""
"202400000144";"155781495";"B01";"3";"1";"0";"2";"8";"19";"5";""
"202400000144";"155781496";"A01";"2";"7";"0";"2";"3";"15";"1";""
"202400000145";"155781492";"A01";"3";"7";"0";"2";"1";"1";"1";""
"202400000145";"155781493";"B01";"3";"7";"0";"0";"4";"1";"1";""
"202400000146";"155781490";"B01";"1";"1";"0";"2";"8";"1";"5";""
"202400000146";"155781491";"A01";"1";"7";"0";"2";"1";"1";"2";""
"202400000147";"155781489";"A01";"2";"7";"0";"1";"1";"16";"1";""
"202400000148";"155781488";"A01";"3";"50";"0";"1";"7";"26";"3";""
"202400000149";"155781486";"B01";"2";"7";"0";"0";"3";"24";"2";""
"202400000149";"155781487";"A01";"2";"1";"1";"0";"1";"1";"5";""
"202400000150";"155781484";"A01";"1";"33";"0";"2";"1";"2";"1";""
"202400000150";"155781485";"B01";"1";"7";"0";"2";"7";"2";"3";""
"202400000151";"155781482";"B01";"1";"7";"0";"2";"2";"1";"1";""
"202400000151";"155781483";"A01";"1";"7";"0";"2";"3";"13";"1";""
"202400000152";"155781479";"C01";"1";"7";"0";"2";"4";"23";"1";""
"202400000152";"155781480";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400000152";"155781481";"B01";"1";"7";"0";"2";"4";"23";"2";""
"202400000153";"155781477";"B01";"2";"32";"0";"2";"2";"17";"1";""
"202400000153";"155781478";"A01";"2";"7";"0";"2";"3";"11";"1";""
"202400000154";"155781475";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202400000154";"155781476";"A01";"2";"7";"0";"2";"4";"23";"1";""
"202400000155";"155781473";"A01";"3";"37";"0";"2";"4";"23";"1";"1"
"202400000155";"155781474";"B01";"3";"37";"0";"2";"1";"1";"1";"2"
"202400000156";"155781472";"A01";"2";"7";"0";"1";"1";"16";"0";""
"202400000157";"155781471";"A01";"1";"7";"0";"1";"1";"1";"1";""
"202400000158";"155781469";"A01";"1";"7";"0";"2";"1";"16";"1";""
"202400000158";"155781470";"B01";"2";"7";"0";"2";"2";"1";"1";""
"202400000159";"155781468";"A01";"1";"7";"2";"0";"1";"0";"1";""
"202400000160";"155781467";"A01";"1";"33";"4";"0";"3";"3";"1";""
"202400000161";"155781466";"A01";"1";"2";"13";"0";"1";"1";"1";""
"202400000162";"155781465";"A01";"1";"10";"13";"0";"3";"13";"1";""
"202400000163";"155781463";"A01";"0";"7";"0";"2";"1";"15";"1";""
"202400000163";"155781464";"B01";"0";"10";"0";"2";"3";"1";"1";""
"202400000164";"155781461";"A01";"2";"14";"0";"2";"1";"0";"1";""
"202400000164";"155781462";"B01";"2";"14";"0";"0";"4";"0";"1";""
"202400000165";"155781460";"A01";"1";"7";"2";"0";"1";"26";"1";""
"202400000166";"155781459";"A01";"1";"7";"2";"0";"1";"0";"1";""
"202400000167";"155781458";"A01";"0";"7";"13";"0";"1";"0";"1";""
