"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400003666";"203979920";"155775349";"B01";"1";"1";"1";"1";"1939";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003666";"203979922";"155775351";"A01";"1";"1";"4";"1";"1966";"5";"2";"8";" -1";" -1";" -1";" -1"
"202400003667";"203979919";"155775348";"A01";"1";"1";"1";"1";"2002";"5";"1";"0";" -1";"0";"0";" -1"
"202400003667";"203979921";"155775350";"B01";"1";"1";"4";"1";"1972";"5";"2";"6";" -1";"0";"0";" -1"
"202400003668";"203979913";"155775345";"A01";"1";"1";"3";"1";"1974";"1";"2";"6";" -1";" -1";" -1";" -1"
"202400003668";"203979914";"155775346";"B01";"3";"2";"1";"1";"2014";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003668";"203979916";"155775346";"B01";"4";"2";"1";"1";"2012";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003668";"203979917";"155775346";"B01";"1";"1";"1";"1";"1985";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003668";"203979918";"155775347";"C01";"1";"1";"1";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003669";"203979912";"155775343";"A01";"1";"1";"4";"1";"1973";"1";"1";"0";" -1";"0";"0";" -1"
"202400003669";"203979915";"155775344";"B01";"1";"1";"1";"1";"1985";"1";"1";"0";" -1";"0";"0";" -1"
"202400003670";"203979910";"155775342";"A01";"10";"3";"3";"2";"1952";"0";"0";" -1";" -1";"3";"3";"1"
"202400003670";"203979911";"155775342";"A01";"1";"1";"1";"2";"2003";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003671";"203979908";"155775340";"A01";"1";"1";"1";"2";"1972";"0";"1";"0";"0";" -1";" -1";" -1"
"202400003671";"203979909";"155775341";"B01";"1";"1";"4";"1";"1971";"0";"2";"6";"0";" -1";" -1";" -1"
"202400003672";"203979907";"155775339";"A01";"1";"1";"4";"2";"1998";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400003673";"203979905";"155775337";"B01";"1";"1";"1";"1";"2005";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003673";"203979906";"155775338";"A01";"1";"1";"4";"1";"1969";"0";"2";"6";" -1";" -1";" -1";" -1"
"202400003674";"203979903";"155775335";"A01";"1";"1";"4";"2";"1992";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202400003674";"203979904";"155775336";"B01";"1";"1";"1";"1";"1961";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202400003675";"203979898";"155775330";"D01";"1";"1";"4";"1";"1963";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003675";"203979899";"155775332";"A01";"1";"1";"4";"2";"1992";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003675";"203979901";"155775333";"B01";"1";"1";"4";"2";"1986";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003675";"203979902";"155775334";"C01";"1";"1";"4";"2";"1987";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003676";"203979897";"155775329";"B01";"1";"1";"4";"1";"1998";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400003676";"203979900";"155775331";"A01";"1";"1";"1";"2";"1998";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400003677";"203979894";"155775326";"B01";"1";"1";"4";"2";"1968";"0";"2";"8";" -1";" -1";" -1";" -1"
"202400003677";"203979896";"155775328";"A01";"1";"1";"1";"1";"2005";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400003678";"203979893";"155775325";"A01";"1";"1";"4";"1";"1999";"4";"2";"8";" -1";" -1";" -1";" -1"
"202400003678";"203979895";"155775327";"Z01";"1";"1";"1";"1";"1964";"9";"8";" -1";" -1";" -1";" -1";" -1"
"202400003679";"203979890";"155775323";"A01";"1";"1";"4";"1";"1990";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400003679";"203979892";"155775323";"A01";"10";"3";"4";"1";"1951";"0";"0";" -1";" -1";"2";"3";"1"
"202400003680";"203979889";"155775322";"A01";"1";"1";"4";"1";"2003";"0";"8";" -1";" -1";"0";"0";" -1"
"202400003680";"203979891";"155775324";"B01";"1";"1";"4";"1";"1995";"4";"8";" -1";" -1";"0";"0";" -1"
"202400003681";"203979887";"155775320";"A01";"1";"1";"3";"1";"1970";"5";"2";"6";" -1";"0";"0";" -1"
"202400003682";"203979886";"155775319";"A01";"1";"1";"4";"1";"1995";"9";"2";"6";" -1";" -1";" -1";" -1"
"202400003682";"203979888";"155775321";"B01";"1";"1";"1";"1";"1980";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003683";"203979885";"155775318";"A01";"1";"1";"2";"1";"2002";"5";"2";"6";" -1";"0";"0";" -1"
"202400003684";"203979883";"155775316";"A01";"1";"1";"4";"1";"2003";"5";"2";"6";" -1";" -1";" -1";" -1"
"202400003684";"203979884";"155775317";"B01";"1";"1";"1";"1";"1986";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003685";"203979882";"155775315";"A01";"1";"1";"3";"1";"1987";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003686";"203979880";"155775314";"A01";"10";"3";"3";"2";"1980";"9";"0";" -1";" -1";"3";"3";"1"
"202400003686";"203979881";"155775314";"A01";"1";"1";"1";"1";"1940";"0";"1";" -1";" -1";"0";"0";" -1"
"202400003687";"203979876";"155775313";"A01";"10";"3";"4";"2";"2010";"5";"8";"8";" -1";"3";"5";"1"
"202400003687";"203979877";"155775313";"A01";"1";"1";"1";"1";"1964";"1";"1";"8";" -1";" -1";" -1";" -1"
"202400003688";"203979874";"155775311";"A01";"1";"1";"4";"2";"2002";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202400003688";"203979875";"155775312";"B01";"2";"2";"4";"1";"1993";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202400003688";"203979878";"155775312";"B01";"10";"3";"4";"2";"2005";"1";"0";" -1";" -1";"3";"3";"1"
"202400003688";"203979879";"155775312";"B01";"1";"1";"1";"1";"1988";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202400003689";"203979872";"155775308";"A01";"1";"1";"1";"1";"1991";"1";"8";"0";" -1";" -1";" -1";" -1"
"202400003689";"203979873";"155775310";"B01";"1";"1";"4";"1";"1987";"0";"2";"0";"0";" -1";" -1";" -1"
"202400003690";"203979870";"155775307";"A01";"1";"1";"4";"1";"1998";"0";"8";" -1";" -1";" -1";" -1";" -1"
"202400003690";"203979871";"155775309";"B01";"1";"1";"1";"2";"1998";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202400003691";"203979867";"155775304";"B01";"1";"1";"3";"1";"1991";"9";"2";"6";" -1";" -1";" -1";" -1"
"202400003691";"203979869";"155775306";"A01";"1";"1";"1";"2";"1971";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003692";"203979866";"155775303";"A01";"1";"1";"1";"1";"1997";"4";"1";"8";" -1";" -1";" -1";" -1"
"202400003692";"203979868";"155775305";"B01";"1";"1";"4";"1";"1972";"4";"2";"8";" -1";" -1";" -1";" -1"
"202400003693";"203979862";"155775302";"A01";"10";"3";"1";"2";"1963";"4";"8";"8";" -1";"3";"9";"1"
